"Date","IP","Error"
"9/19/2018 10:17:12AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:17:21AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:17:48AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:17:52AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:17:57AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:18:28AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:18:34AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:18:38AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:18:59AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:19:06AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:19:36AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:19:39AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:19:46AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:07AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:12AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:17AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:26AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:43AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:46AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:53AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:57AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:03AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:06AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:09AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:11AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:14AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:19AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:19AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:23AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:28AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:38AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:45AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:53AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:58AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:02AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:04AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:05AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:09AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:10AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:19AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:23AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:48AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:52AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:57AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:57AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:23:03AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:23:17AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:23:28AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:23:46AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:23:46AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:23:56AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:24:05AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:24:26AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:24:50AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:24:55AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:00AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:00AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:13AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:20AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:24AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:53AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:58AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:58AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:26:03AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:26:28AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:26:38AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:26:38AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:26:50AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:00AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:00AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:07AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:10AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:13AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:17AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:34AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:39AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:44AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:50AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:57AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:28:32AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:28:42AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:28:59AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:28:59AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:29:07AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:29:36AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:29:40AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:29:53AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:00AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:00AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:08AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:32AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:36AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:40AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:11AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:19AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:22AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:27AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:35AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:40AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:46AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:50AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:56AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:17:12AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:17:21AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:17:48AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:17:52AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:17:57AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:18:28AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:18:34AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:18:38AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:18:59AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:19:06AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:19:36AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:19:39AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:19:46AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:07AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:12AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:17AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:26AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:43AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:46AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:53AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:20:57AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:03AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:06AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:09AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:11AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:14AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:19AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:19AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:23AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:28AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:38AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:45AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:53AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:21:58AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:02AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:04AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:05AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:09AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:10AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:19AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:23AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:48AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:52AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:57AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:22:57AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:23:03AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:23:17AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:23:28AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:23:46AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:23:46AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:23:56AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:24:05AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:24:26AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:24:50AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:24:55AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:00AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:00AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:13AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:20AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:24AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:53AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:58AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:25:58AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:26:03AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:26:28AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:26:38AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:26:38AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:26:50AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:00AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:00AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:07AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:10AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:13AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:17AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:34AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:39AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:44AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:50AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:27:57AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:28:32AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:28:42AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:28:59AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:28:59AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:29:07AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:29:36AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:29:40AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:29:53AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:00AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:00AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:08AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:32AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:36AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:40AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:11AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:19AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:22AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:27AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:35AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:40AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:46AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:50AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:56AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:12AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:19AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:24AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:35AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:39AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:46AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:49AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:54AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:58AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:33:04AM","10.35.159.35","8281   DR SERVFAIL"
